id,min_distance_to_school(m),min_duration_to_school(s)
1630,1313.8,156.23
1631,632.22,91.03
1632,3456.33,424.77
1633,183.73,16.09
1634,1587.81,169.39
1635,783.61,69.9
1636,578.85,85.23
1637,965.27,137.21
1638,940.55,117.87
1639,1904.74,243.24
1640,438.87,82.53
1641,814.29,111.39
1642,989.23,105.95
1643,681.9,119.43
1644,1738.69,208.46
1645,1045.7,201.26
1646,4281.45,469.5
1647,669.9,108.88
1648,1012.75,129.0
1649,868.3,147.42
1650,1064.95,173.25
1651,2188.71,245.85
1652,1476.14,293.79
1653,619.2,84.2
1654,791.18,93.64
1655,2830.05,369.68
1656,370.46,88.9
1657,751.6,124.57
1658,902.7,168.52
1659,1380.21,230.6
1660,904.73,118.94
1661,778.81,109.07
1662,296.06,31.86
1663,577.58,97.88
1664,855.01,89.49
1665,1025.02,167.54
1666,601.75,106.31
1667,1937.45,228.2
1668,979.58,235.09
1669,1094.94,107.07
1670,274.8,32.33
1671,802.76,118.62
1672,588.44,84.8
1673,432.05,43.11
1674,2246.96,226.81
1675,1680.26,191.47
1676,5915.17,541.49
1677,1613.7,238.23
1678,539.04,74.59
1679,500.1,71.67
1680,500.1,71.67
1681,1747.59,255.98
1682,7133.93,712.61
1683,1455.1,149.94
1684,919.1,172.29
1685,2299.35,246.48
1686,242.65,58.23
1687,655.39,101.48
1688,1328.48,121.87
1689,1864.13,243.39
1690,1856.76,232.32
1691,3056.7,429.03
1692,798.81,104.75
1693,781.33,112.51
1694,923.33,212.44
1695,526.87,73.15
1696,418.09,64.47
1697,657.25,94.29
1698,672.61,88.68
1699,2239.58,243.01
1700,720.75,124.09
1701,733.06,138.76
1702,2264.05,272.23
1703,617.48,99.28
1704,638.49,97.49
1705,988.5,138.18
1706,1617.47,207.69
1707,784.74,97.94
1708,1022.5,132.34
1709,265.28,54.69
1710,642.14,151.23
1711,372.94,73.86
1712,1092.7,149.23
1713,1725.81,216.9
1714,1316.43,175.71
1715,1332.63,206.94
1716,860.83,129.71
1717,574.39,61.35
1718,1585.78,304.08
1719,816.18,77.05
1720,1275.86,241.07
1721,695.29,76.54
1722,13881.79,748.59
1723,2000.31,385.47
1724,691.2,109.82
1725,1101.9,180.24
1726,1675.13,235.86
1727,6698.5,661.8
1728,1605.93,189.1
1729,994.35,215.41
1730,375.29,73.39
1731,955.86,132.33
1732,2047.33,261.67
1733,1030.21,136.61
1734,238.16,58.13
1735,612.24,113.92
1736,1501.45,131.14
1737,1220.67,174.96
1738,791.74,99.53
1739,794.59,135.39
1740,497.52,75.32
1741,2420.01,297.91
1742,876.38,135.31
1743,1185.92,141.11
1744,934.72,110.68
1745,1023.99,158.18
1746,825.06,125.86
1747,854.82,89.51
1748,1092.31,132.43
1749,1222.36,122.31
1750,764.76,115.84
1751,2196.29,201.12
1752,1154.67,160.63
1753,2426.83,341.57
1754,725.08,107.47
1755,740.11,75.72
1756,508.82,122.11
1757,617.27,101.97
1758,657.45,115.72
1759,785.61,136.87
1760,1383.37,277.09
1761,674.04,111.28
1762,1489.37,198.48
1763,1522.01,176.5
1764,632.7,98.76
1765,364.7,42.16
1766,900.35,117.35
1767,322.91,46.96
1768,1091.01,158.22
1769,1091.01,158.22
1770,704.14,104.03
1771,782.87,122.93
1772,276.31,47.58
1773,1721.64,177.47
1774,1889.38,248.81
1775,514.01,78.09
1776,429.92,63.12
1777,1354.11,143.76
1778,917.95,111.81
1779,517.55,55.53
1780,733.83,106.29
1781,1651.44,213.46
1782,695.25,148.96
