,min_dist,min_dur
1577,426.44,79.92
1578,3234.51,322.27
1579,87886.93,3828.16
1580,151973.08,6161.58
1581,3806.38,458.84
1582,5276.46,558.9
1583,1855.36,211.8
1584,576.69,73.46
1585,312.3,62.91
1586,149163.95,5758.62
1587,1129.31,144.92
1588,276300.63,11950.48
1589,1881.53,353.95
1590,1357.9,152.6
1591,15807.4,1124.47
1592,703.81,95.51
1593,1631.4,201.38
1594,931.6,181.54
1595,931.6,181.54
1596,31791.82,1745.36
1597,223439.61,10612.55
1598,4405.96,459.86
1599,163.12,29.92
1600,96019.16,4360.03
1601,8174.79,674.62
1602,82014.42,4301.67
1603,341.35,65.09
1604,3365.77,452.05
1605,2453.47,339.94
1606,2445.88,269.28
1607,457.56,59.34
1608,2495.37,276.32
1609,2358.79,302.24
1610,194317.38,8857.12
1611,409.39,66.64
1612,30414.12,1637.06
1613,160383.78,7488.11
1614,9449.97,888.81
1615,1945.28,259.12
1616,29176.29,1521.08
1617,1584.11,248.02
1618,175.93,34.56
1619,4372.38,345.93
1620,2190.94,297.38
1621,887.2,139.29
1622,1047.8,161.17
1623,444.19,61.72
1624,257.04,47.31
1625,224411.05,9736.8
1626,1037.88,191.48
1627,21894.06,1413.07
1628,1596.94,182.22
1629,75478.82,4028.48
1630,6133.32,494.37
1631,22626.62,1433.87
1632,1050.74,151.29
1633,51762.11,2442.71
1634,160667.33,7482.06
1635,4408.29,403.74
1636,864.24,100.3
1637,2744.55,297.74
1638,244478.94,10595.9
1639,1459.29,238.14
1640,634.74,114.93
1641,4105.16,345.75
1642,872.89,91.79
1643,99652.84,4247.81
1644,91472.99,4093.84
1645,30146.85,1712.9
1646,1063.89,150.43
1647,5770.61,655.64
1648,2368.1,321.02
1649,225361.23,9846.6
1650,8317.56,631.98
1651,2335.86,373.45
1652,668.36,73.35
1653,539.39,96.42
1654,17077.32,1152.26
1655,3929.24,402.13
1656,1527.54,252.11
1657,1784.95,241.43
1658,1733.95,333.94
1659,833.63,115.94
1660,1705.56,221.5
1661,347135.84,13511.95
1662,773.89,144.32
1663,2829.5,292.05
1664,608.23,140.03
1665,798.06,152.75
1666,246363.81,9727.85
1667,65562.23,3153.2
1668,799.22,93.12
1669,1034.48,127.67
1670,620.33,89.4
1671,1777.26,202.92
1672,2317.11,276.42
1673,7585.42,729.23
1674,3540.91,402.78
1675,13898.34,1145.53
1676,4382.81,494.65
1677,506.97,92.2
1678,5490.36,583.72
1679,5490.36,583.72
1680,116928.67,5134.16
1681,13798.59,1180.48
1682,2576.5,293.18
1683,426.44,79.92
1684,23703.3,1592.79
1685,12301.73,995.86
1686,964.9,148.85
1687,54815.6,2578.92
1688,19824.82,1274.53
1689,9886.91,1035.98
1690,3535.37,629.92
1691,1184.22,161.46
1692,5978.99,502.63
1693,251352.55,11795.46
1694,2756.17,299.95
1695,1661.3,188.82
1696,1533.4,179.83
1697,751.0,124.47
1698,24192.68,1569.47
1699,817.2,159.19
1700,10010.9,1045.82
1701,171376.72,6613.95
1702,838.54,142.64
1703,1414.42,225.03
1704,1102.34,166.14
1705,3441.68,406.27
1706,172593.0,6687.61
1707,949.77,120.68
1708,998.55,164.4
1709,1538.77,281.9
1710,576.17,137.59
1711,1201.25,121.15
1712,47671.35,2563.71
1713,1298.22,189.6
1714,2491.11,279.86
1715,802.62,119.31
1716,1407.77,136.55
1717,845.47,171.38
1718,46218.84,2826.59
1719,57195.35,2744.56
1720,94124.99,4304.7
1721,191602.86,7262.74
1722,6485.31,673.78
1723,1277.69,207.42
1724,508.25,99.31
