suburb,postcode,latitude,longitude,isNewDevelopment,bathrooms,bedrooms,carspaces,propertyTypes,status,channel,price_per_week,time_to_nearest_train_station(min),distance_to_nearest_train_station(km),distance_to_nearest_school(km),time_to_nearest_school(min)
Winter Valley,3358,-37.5728908,143.7838123,False,2,4,2,house,live,residential,440.0,12.2,7.54,4.3,7.63
Dandenong,3175,-37.9714718,145.2039618,False,1,3,1,apartmentUnitFlat,live,residential,580.0,6.22,3.46,0.33,1.11
Truganina,3029,-37.8491398,144.7371918,False,2,4,2,house,live,residential,560.0,5.43,3.57,1.49,2.81
Melbourne,3000,-37.8101564,144.9581958,False,1,1,0,apartmentUnitFlat,live,residential,500.0,0.9,0.41,0.62,1.39
Bundoora,3083,-37.69933049999999,145.0696458,False,1,1,0,house,live,residential,280.0,6.08,3.32,0.95,2.22
Berwick,3806,-38.0289682,145.3398955,False,1,3,0,house,live,residential,500.0,5.1,2.18,1.67,2.6
Pakenham,3810,-38.075902,145.4893884,False,2,3,2,townhouse,live,residential,490.0,2.28,0.79,2.08,4.14
Camperdown,3260,-38.23327430000001,143.1411293,False,1,2,1,apartmentUnitFlat,live,residential,310.0,2.87,1.45,0.39,1.07
Berwick,3806,-38.0355527,145.3529401,False,2,3,2,house,live,residential,800.0,4.78,2.81,0.81,1.72
Carlton,3053,-37.7959996,144.9744516,False,1,3,1,house,live,residential,995.0,4.69,2.03,0.54,1.36
Laverton,3028,-37.8661001,144.7720529,False,2,3,1,apartmentUnitFlat,live,residential,550.0,1.02,0.46,1.54,2.6
Newcomb,3219,-38.1699906,144.3884243,False,3,6,2,house,live,residential,570.0,5.82,3.69,0.98,1.5
Huntly,3551,-36.6636038,144.3569797,False,2,4,2,house,live,residential,500.0,4.49,1.29,2.51,4.32
Huntly,3551,-36.6610281,144.3467219,False,2,4,2,house,live,residential,520.0,6.7,2.47,1.79,3.42
Dandenong,3175,-37.9822414,145.2085797,False,1,2,1,apartmentUnitFlat,live,residential,420.0,4.68,2.04,0.96,2.31
Yarraville,3013,-37.8231428,144.8952791,False,1,4,4,house,live,residential,640.0,2.9,1.71,1.55,2.91
Vermont,3133,-37.8360384,145.1914477,False,0,0,0,apartmentUnitFlat,live,residential,510.0,5.03,3.59,0.51,1.27
Pakenham,3810,-38.0762727,145.4519442,False,2,4,2,house,live,residential,580.0,7.02,3.35,1.05,2.62
Heidelberg,3084,-37.7546628,145.0625339,False,1,1,1,apartmentUnitFlat,live,residential,370.0,0.78,0.33,0.61,1.3
Melbourne,3000,-37.8092536,144.961181,False,1,2,0,apartmentUnitFlat,live,residential,660.0,1.56,0.69,0.84,2.0
Kennington,3550,-36.7701208,144.3043799,False,1,4,2,house,live,residential,470.0,5.65,2.46,1.5,3.55
Melbourne,3000,-37.8134628,144.969041,False,1,2,0,apartmentUnitFlat,live,residential,640.0,1.71,0.64,0.46,1.3
Tarneit,3029,-37.8427419,144.6821189,False,2,4,2,house,live,residential,560.0,5.2,2.73,0.99,2.42
Terang,3264,-38.2369195,142.9039355,False,1,3,0,house,live,residential,410.0,1.2,0.81,0.85,1.37
Docklands,3008,-37.8209722,144.9532542,False,1,1,0,apartmentUnitFlat,live,residential,550.0,2.53,0.91,1.35,3.5
Morwell,3840,-38.2341033,146.3963485,False,2,3,2,house,live,residential,490.0,1.68,0.65,2.09,3.27
Tarneit,3029,-37.8564632,144.6510029,False,2,4,2,house,live,residential,580.0,12.48,7.14,0.87,1.6
Belmont,3216,-38.1744712,144.3334345,False,1,1,1,apartmentUnitFlat,live,residential,290.0,5.89,3.42,0.32,0.43
Brunswick East,3057,-37.7779575,144.9760009,False,1,1,1,apartmentUnitFlat,live,residential,550.0,4.16,1.62,0.43,1.23
Ivanhoe,3079,-37.7575146,145.0510262,False,2,3,1,house,live,residential,650.0,1.99,1.03,1.03,1.53
Portarlington,3223,-38.1166275,144.6586168,False,1,3,4,house,live,residential,450.0,57.65,49.96,0.47,0.8
Aintree,3336,-37.7270254,144.6642222,False,2,4,2,house,live,residential,550.0,6.63,2.98,0.54,1.58
